age,time,sex,atmospheric condition,intersection,lighting
33,14,Female,Cloudy weather,Out of intersection,Full day
15,14,Male,Cloudy weather,Out of intersection,Full day
56,18,Male,Normal,Giratory,Full day
16,18,Male,Normal,Giratory,Full day
54,18,Female,Normal,Giratory,Full day
19,19,Male,Normal,Out of intersection,Full day
46,19,Male,Normal,Out of intersection,Full day
17,19,Male,Dazzling weather,Out of intersection,Twilight or dawn
17,19,Male,Dazzling weather,Out of intersection,Twilight or dawn
31,19,Female,Dazzling weather,Out of intersection,Twilight or dawn
59,11,Female,Normal,Intersection in T,Full day
14,11,Female,Normal,Intersection in T,Full day
63,11,Male,Normal,Intersection in T,Full day
59,11,Male,Dazzling weather,Out of intersection,Full day
38,11,Female,Dazzling weather,Out of intersection,Full day
15,11,Male,Dazzling weather,Out of intersection,Full day
15,11,Male,Dazzling weather,Out of intersection,Full day
36,11,Male,Dazzling weather,Out of intersection,Full day
47,19,Female,Normal,Out of intersection,Twilight or dawn
41,19,Male,Normal,Out of intersection,Twilight or dawn
44,19,Male,Normal,Out of intersection,Twilight or dawn
32,19,Male,Normal,Out of intersection,Full day
15,19,Male,Normal,Out of intersection,Full day
43,10,Male,Other,Out of intersection,Full day
60,10,Male,Other,Out of intersection,Full day
50,8,Male,Cloudy weather,Out of intersection,Twilight or dawn
56,8,Female,Cloudy weather,Out of intersection,Twilight or dawn
26,18,Male,Normal,Out of intersection,Night without public lighting
69,16,Female,Normal,Out of intersection,Full day
77,16,Male,Normal,Out of intersection,Full day
20,12,Male,Normal,Out of intersection,Full day
41,12,Male,Normal,Out of intersection,Full day
46,12,Male,Normal,Out of intersection,Full day
46,19,Male,Dazzling weather,Giratory,Full day
52,19,Male,Dazzling weather,Giratory,Full day
24,19,Male,Dazzling weather,Giratory,Full day
38,8,Female,Normal,Out of intersection,Full day
55,8,Male,Normal,Out of intersection,Full day
22,8,Male,Normal,Out of intersection,Full day
20,7,Female,Cloudy weather,Out of intersection,Night without public lighting
57,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
54,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
47,19,Male,Normal,Out of intersection,Full day
43,19,Male,Normal,Out of intersection,Full day
24,19,Male,Normal,Out of intersection,Full day
22,19,Female,Normal,Out of intersection,Full day
20,19,Female,Normal,Out of intersection,Full day
2,19,Female,Normal,Out of intersection,Full day
53,20,Male,Light rain,Giratory,Night with public lighting on
49,20,Male,Light rain,Giratory,Night with public lighting on
26,11,Female,Normal,Out of intersection,Full day
53,11,Female,Normal,Out of intersection,Full day
26,10,Male,Normal,Intersection in X,Full day
24,10,Male,Normal,Intersection in X,Full day
24,10,Female,Normal,Intersection in X,Full day
80,15,Male,Heavy rain,Out of intersection,Full day
42,9,Male,Light rain,Out of intersection,Night without public lighting
42,9,Male,Light rain,Out of intersection,Night without public lighting
24,5,Male,Other,Out of intersection,Night without public lighting
77,11,Female,Dazzling weather,Out of intersection,Full day
4,11,Female,Dazzling weather,Out of intersection,Full day
61,13,Male,Normal,Out of intersection,Full day
77,13,Female,Normal,Out of intersection,Full day
74,19,Male,Normal,Out of intersection,Night without public lighting
52,19,Male,Normal,Out of intersection,Night without public lighting
23,20,Male,Fog - smoke,Out of intersection,Night without public lighting
32,20,Male,Fog - smoke,Out of intersection,Night without public lighting
31,20,Female,Fog - smoke,Out of intersection,Night without public lighting
6,20,Male,Fog - smoke,Out of intersection,Night without public lighting
4,20,Male,Fog - smoke,Out of intersection,Night without public lighting
1,20,Male,Fog - smoke,Out of intersection,Night without public lighting
44,17,Male,Normal,Out of intersection,Full day
28,17,Female,Normal,Out of intersection,Full day
33,20,Male,Normal,Out of intersection,Full day
16,20,Male,Normal,Out of intersection,Full day
19,11,Female,Normal,Out of intersection,Full day
26,11,Male,Normal,Out of intersection,Full day
31,9,Female,Heavy rain,Intersection in T,Full day
34,9,Female,Heavy rain,Intersection in T,Full day
39,13,Male,Normal,Out of intersection,Full day
28,13,Male,Normal,Out of intersection,Full day
27,21,Male,Light rain,Out of intersection,Night with public lighting on
65,17,Female,Strong wind - storm,Out of intersection,Night without public lighting
27,17,Male,Strong wind - storm,Out of intersection,Night without public lighting
51,3,Male,Normal,Out of intersection,Night without public lighting
25,15,Male,Normal,Out of intersection,Full day
58,15,Female,Normal,Out of intersection,Full day
73,15,Male,Normal,Out of intersection,Full day
41,21,Male,Normal,Out of intersection,Full day
12,21,Male,Normal,Out of intersection,Full day
24,6,Female,Normal,Out of intersection,Twilight or dawn
28,8,Female,Normal,Out of intersection,Full day
40,8,Female,Normal,Out of intersection,Full day
71,16,Male,Normal,Out of intersection,Full day
25,5,Male,Normal,Out of intersection,Night with public lighting on
19,14,Male,Normal,Out of intersection,Full day
16,14,Male,Normal,Out of intersection,Full day
73,18,Male,Light rain,Out of intersection,Night with public lighting on
60,18,Female,Light rain,Out of intersection,Night with public lighting on
26,22,Male,Normal,Out of intersection,Night without public lighting
20,22,Male,Normal,Out of intersection,Night without public lighting
42,13,Male,Normal,Intersection in X,Full day
30,13,Male,Normal,Intersection in X,Full day
60,18,Male,Normal,Out of intersection,Full day
39,2,Male,Normal,Out of intersection,Night with public lighting not lit
68,10,Male,Normal,Out of intersection,Full day
76,10,Male,Normal,Out of intersection,Full day
23,15,Female,Normal,Out of intersection,Full day
26,15,Male,Normal,Out of intersection,Full day
50,15,Female,Light rain,Out of intersection,Full day
13,15,Male,Light rain,Out of intersection,Full day
29,1,Male,Light rain,Out of intersection,Night without public lighting
27,11,Female,Normal,Out of intersection,Full day
65,11,Male,Normal,Out of intersection,Full day
72,11,Female,Normal,Out of intersection,Full day
39,16,Male,Light rain,Out of intersection,Full day
58,7,Male,Normal,Out of intersection,Twilight or dawn
64,7,Male,Normal,Out of intersection,Twilight or dawn
30,7,Male,Fog - smoke,Out of intersection,Night without public lighting
62,7,Male,Fog - smoke,Out of intersection,Night without public lighting
44,7,Male,Fog - smoke,Out of intersection,Night without public lighting
44,4,Female,Normal,Out of intersection,Night without public lighting
29,18,Male,Light rain,Out of intersection,Full day
25,13,Male,Normal,Out of intersection,Full day
29,13,Male,Normal,Out of intersection,Full day
18,20,Male,Normal,Other intersection,Night with public lighting on
59,20,Female,Normal,Other intersection,Night with public lighting on
48,17,Female,Normal,Out of intersection,Night without public lighting
27,17,Male,Normal,Out of intersection,Night without public lighting
39,11,Female,Normal,Intersection in X,Full day
70,11,Male,Normal,Intersection in X,Full day
64,11,Female,Normal,Intersection in X,Full day
81,11,Female,Normal,Intersection in X,Full day
81,11,Male,Normal,Intersection in X,Full day
34,1,Male,Light rain,Out of intersection,Night without public lighting
54,19,Female,Light rain,Out of intersection,Full day
43,15,Male,Normal,Out of intersection,Full day
67,15,Female,Normal,Out of intersection,Full day
67,14,Male,Normal,Out of intersection,Full day
40,14,Male,Normal,Out of intersection,Full day
48,22,Male,Normal,Intersection in X,Night without public lighting
63,22,Male,Normal,Intersection in X,Night without public lighting
73,10,Male,Normal,Out of intersection,Full day
85,10,Male,Normal,Out of intersection,Full day
89,13,Male,Normal,Giratory,Full day
61,13,Female,Normal,Giratory,Full day
69,19,Male,Normal,Out of intersection,Night with public lighting on
69,19,Female,Normal,Out of intersection,Night with public lighting on
17,21,Male,Fog - smoke,Out of intersection,Night without public lighting
18,21,Female,Fog - smoke,Out of intersection,Night without public lighting
63,21,Male,Fog - smoke,Out of intersection,Night without public lighting
24,21,Female,Normal,Intersection in X,Night with public lighting on
16,21,Female,Normal,Intersection in X,Night with public lighting on
54,21,Female,Normal,Intersection in X,Night with public lighting on
29,2,Male,Normal,Out of intersection,Night without public lighting
35,17,Male,Normal,Out of intersection,Night with public lighting on
38,17,Male,Normal,Out of intersection,Night with public lighting on
71,16,Female,Normal,Out of intersection,Full day
62,16,Male,Normal,Out of intersection,Full day
35,8,Male,Normal,Out of intersection,Full day
31,8,Male,Normal,Out of intersection,Full day
22,6,Male,Normal,Out of intersection,Twilight or dawn
24,6,Male,Normal,Out of intersection,Twilight or dawn
25,6,Male,Normal,Out of intersection,Twilight or dawn
24,6,Male,Normal,Out of intersection,Twilight or dawn
23,6,Male,Normal,Out of intersection,Twilight or dawn
41,9,Male,Heavy rain,Out of intersection,Full day
44,21,Male,Light rain,Out of intersection,Night without public lighting
22,21,Female,Light rain,Out of intersection,Night without public lighting
60,21,Male,Light rain,Out of intersection,Night without public lighting
49,11,Male,Normal,Intersection in X,Full day
54,11,Male,Normal,Intersection in X,Full day
17,16,Male,Normal,Out of intersection,Full day
17,16,Male,Normal,Out of intersection,Full day
34,16,Male,Normal,Out of intersection,Full day
51,8,Male,Normal,Level crossing,Full day
48,8,Male,Normal,Level crossing,Full day
19,2,Female,Normal,Out of intersection,Night without public lighting
42,2,Male,Normal,Out of intersection,Night without public lighting
22,10,Male,Normal,Out of intersection,Full day
29,10,Male,Normal,Out of intersection,Full day
69,11,Male,Light rain,Giratory,Full day
31,11,Female,Light rain,Giratory,Full day
24,13,Female,Normal,Giratory,Full day
23,13,Male,Normal,Giratory,Full day
23,13,Female,Normal,Giratory,Full day
25,5,Male,Normal,Out of intersection,Night without public lighting
49,5,Male,Normal,Out of intersection,Night without public lighting
24,5,Male,Normal,Out of intersection,Night with public lighting on
57,16,Male,Normal,Other intersection,Full day
19,10,Female,Normal,Out of intersection,Full day
16,10,Female,Normal,Out of intersection,Full day
52,23,Male,Normal,Out of intersection,Night with public lighting on
26,15,Male,Normal,Out of intersection,Full day
24,15,Male,Normal,Out of intersection,Full day
22,15,Female,Normal,Out of intersection,Full day
2,15,Male,Normal,Out of intersection,Full day
84,15,Male,Normal,Out of intersection,Full day
85,15,Female,Normal,Out of intersection,Full day
23,17,Male,Normal,Out of intersection,Night without public lighting
41,17,Female,Normal,Out of intersection,Night without public lighting
20,17,Female,Normal,Out of intersection,Night without public lighting
37,17,Female,Normal,Out of intersection,Night without public lighting
20,17,Female,Normal,Out of intersection,Full day
36,17,Male,Normal,Out of intersection,Full day
38,14,Male,Normal,Out of intersection,Full day
48,14,Female,Normal,Out of intersection,Full day
36,14,Female,Normal,Out of intersection,Full day
38,21,Male,Normal,Out of intersection,Night with public lighting on
33,21,Female,Normal,Out of intersection,Night with public lighting on
26,20,Male,Normal,Out of intersection,Night with public lighting on
31,14,Male,Normal,Out of intersection,Full day
53,14,Female,Normal,Out of intersection,Full day
34,14,Male,Normal,Out of intersection,Full day
15,15,Male,Normal,Out of intersection,Full day
27,15,Female,Normal,Out of intersection,Full day
33,13,Male,Normal,Out of intersection,Twilight or dawn
37,9,Female,Normal,Out of intersection,Full day
55,9,Male,Normal,Out of intersection,Full day
56,19,Male,Light rain,Out of intersection,Night without public lighting
79,12,Female,Normal,Out of intersection,Full day
13,12,Male,Normal,Out of intersection,Full day
21,3,Male,Normal,Out of intersection,Night without public lighting
20,3,Male,Normal,Out of intersection,Night without public lighting
26,20,Male,Normal,Out of intersection,Twilight or dawn
29,20,Female,Normal,Out of intersection,Twilight or dawn
42,20,Female,Normal,Out of intersection,Twilight or dawn
18,17,Male,Normal,Out of intersection,Full day
18,17,Female,Normal,Out of intersection,Full day
56,17,Female,Normal,Out of intersection,Full day
22,17,Male,Normal,Out of intersection,Full day
39,18,Male,Cloudy weather,Out of intersection,Night with public lighting on
28,18,Female,Cloudy weather,Out of intersection,Night with public lighting on
6,18,Female,Cloudy weather,Out of intersection,Night with public lighting on
9,18,Male,Cloudy weather,Out of intersection,Night with public lighting on
11,18,Female,Cloudy weather,Out of intersection,Night with public lighting on
75,18,Female,Cloudy weather,Out of intersection,Night with public lighting on
44,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
68,13,Male,Fog - smoke,Out of intersection,Full day
24,8,Female,Normal,Intersection in X,Full day
83,8,Male,Normal,Intersection in X,Full day
19,20,Male,Light rain,Out of intersection,Night without public lighting
62,15,Male,Normal,Out of intersection,Full day
22,3,Male,Other,Out of intersection,Night with public lighting on
21,3,Male,Other,Out of intersection,Night with public lighting on
16,3,Female,Other,Out of intersection,Night with public lighting on
19,3,Male,Other,Out of intersection,Night with public lighting on
20,3,Male,Other,Out of intersection,Night with public lighting on
20,21,Male,Normal,Out of intersection,Full day
51,15,Male,Light rain,Out of intersection,Full day
40,15,Female,Light rain,Out of intersection,Full day
44,15,Male,Light rain,Out of intersection,Full day
7,15,Male,Light rain,Out of intersection,Full day
54,6,Male,Fog - smoke,Out of intersection,Night with public lighting on
26,6,Female,Fog - smoke,Out of intersection,Night with public lighting on
58,15,Male,Normal,Out of intersection,Full day
50,7,Male,Normal,Out of intersection,Twilight or dawn
46,7,Male,Normal,Out of intersection,Twilight or dawn
18,7,Male,Normal,Out of intersection,Twilight or dawn
30,0,Male,Normal,Out of intersection,Night with public lighting on
23,12,Male,Normal,Out of intersection,Full day
57,12,Male,Normal,Out of intersection,Full day
24,10,Female,Other,Out of intersection,Full day
23,20,Female,Fog - smoke,Out of intersection,Night without public lighting
48,20,Male,Fog - smoke,Out of intersection,Night without public lighting
22,18,Male,Normal,Out of intersection,Full day
21,18,Female,Normal,Out of intersection,Full day
27,18,Male,Normal,Out of intersection,Full day
21,18,Male,Normal,Out of intersection,Full day
27,16,Male,Normal,Out of intersection,Full day
22,6,Male,Light rain,Out of intersection,Night with public lighting on
24,6,Female,Light rain,Out of intersection,Night with public lighting on
22,6,Male,Light rain,Out of intersection,Night with public lighting on
24,21,Male,Normal,Out of intersection,Night without public lighting
49,21,Male,Normal,Out of intersection,Night without public lighting
63,10,Male,Normal,Out of intersection,Full day
71,10,Male,Normal,Out of intersection,Full day
69,10,Female,Normal,Out of intersection,Full day
41,10,Male,Normal,Out of intersection,Full day
57,10,Male,Normal,Out of intersection,Full day
52,15,Male,Heavy rain,Out of intersection,Full day
34,23,Male,Normal,Out of intersection,Night with public lighting on
31,23,Female,Normal,Out of intersection,Night with public lighting on
1,23,Male,Normal,Out of intersection,Night with public lighting on
19,23,Male,Normal,Out of intersection,Night with public lighting on
7,23,Male,Normal,Out of intersection,Night with public lighting on
26,21,Male,Normal,Out of intersection,Night with public lighting on
54,21,Male,Normal,Out of intersection,Night with public lighting on
39,17,Female,Normal,Out of intersection,Full day
6,17,Male,Normal,Out of intersection,Full day
49,2,Male,Normal,Out of intersection,Night without public lighting
20,15,Male,Normal,Intersection in X,Full day
74,15,Male,Normal,Intersection in X,Full day
24,13,Male,Heavy rain,Out of intersection,Full day
55,13,Female,Heavy rain,Out of intersection,Full day
56,11,Male,Normal,Out of intersection,Full day
25,17,Female,Normal,Out of intersection,Full day
46,17,Male,Normal,Out of intersection,Full day
25,21,Male,Normal,Out of intersection,Full day
36,21,Male,Normal,Out of intersection,Full day
34,6,Male,Normal,Out of intersection,Night with public lighting on
29,13,Male,Normal,Out of intersection,Full day
46,13,Male,Normal,Out of intersection,Full day
33,17,Male,Normal,Out of intersection,Full day
14,17,Male,Normal,Out of intersection,Full day
16,17,Male,Normal,Out of intersection,Full day
20,22,Male,Normal,Out of intersection,Night without public lighting
32,22,Male,Normal,Out of intersection,Night without public lighting
46,14,Male,Normal,Out of intersection,Full day
34,14,Female,Normal,Out of intersection,Full day
40,13,Female,Normal,Out of intersection,Full day
43,13,Male,Normal,Out of intersection,Full day
34,3,Female,Normal,Out of intersection,Night without public lighting
57,18,Male,Normal,Out of intersection,Full day
15,18,Female,Normal,Out of intersection,Full day
18,9,Male,Normal,Out of intersection,Full day
5,9,Male,Normal,Out of intersection,Full day
32,22,Male,Normal,Out of intersection,Night without public lighting
52,6,Male,Normal,Out of intersection,Twilight or dawn
28,14,Male,Normal,Out of intersection,Full day
20,20,Male,Normal,Out of intersection,Twilight or dawn
55,20,Male,Normal,Out of intersection,Twilight or dawn
36,21,Male,Light rain,Out of intersection,Night with public lighting on
19,21,Male,Light rain,Out of intersection,Night with public lighting on
45,5,Male,Normal,Giratory,Night without public lighting
44,10,Female,Normal,Giratory,Full day
46,10,Male,Normal,Giratory,Full day
48,7,Male,Normal,Out of intersection,Night without public lighting
58,7,Female,Normal,Out of intersection,Night without public lighting
42,21,Male,Normal,Out of intersection,Full day
46,21,Male,Normal,Out of intersection,Full day
47,15,Male,Dazzling weather,Out of intersection,Full day
84,15,Female,Dazzling weather,Out of intersection,Full day
47,13,Male,Normal,Out of intersection,Full day
22,13,Male,Normal,Out of intersection,Full day
41,13,Male,Normal,Out of intersection,Full day
90,10,Male,Normal,Out of intersection,Full day
26,10,Male,Normal,Out of intersection,Full day
34,8,Male,Normal,Out of intersection,Twilight or dawn
14,8,Female,Normal,Out of intersection,Twilight or dawn
46,14,Male,Normal,Out of intersection,Full day
39,14,Male,Normal,Out of intersection,Full day
28,9,Male,Dazzling weather,Out of intersection,Full day
37,9,Male,Dazzling weather,Out of intersection,Full day
26,16,Male,Normal,Out of intersection,Full day
73,16,Female,Normal,Out of intersection,Full day
62,16,Female,Normal,Out of intersection,Full day
17,16,Male,Cloudy weather,Out of intersection,Full day
23,16,Female,Cloudy weather,Out of intersection,Full day
29,8,Female,Light rain,Out of intersection,Twilight or dawn
15,8,Female,Light rain,Out of intersection,Twilight or dawn
27,11,Male,Normal,Out of intersection,Full day
23,11,Male,Normal,Out of intersection,Full day
41,17,Male,Normal,Out of intersection,Full day
45,17,Male,Normal,Out of intersection,Full day
49,6,Male,Normal,Out of intersection,Twilight or dawn
31,6,Male,Normal,Out of intersection,Twilight or dawn
61,19,Male,Normal,Out of intersection,Night without public lighting
33,19,Male,Normal,Out of intersection,Night without public lighting
48,19,Male,Normal,Out of intersection,Night without public lighting
19,22,Male,Normal,Out of intersection,Night without public lighting
45,20,Male,Normal,Out of intersection,Twilight or dawn
26,1,Male,Normal,Out of intersection,Night with public lighting on
86,14,Male,Normal,Out of intersection,Full day
39,4,Male,Normal,Out of intersection,Night without public lighting
20,2,Male,Other,Out of intersection,Night without public lighting
19,17,Female,Other,Out of intersection,Night without public lighting
19,17,Male,Other,Out of intersection,Night without public lighting
20,17,Male,Other,Out of intersection,Night without public lighting
45,17,Male,Snow - hail,Out of intersection,Full day
33,17,Male,Snow - hail,Out of intersection,Full day
22,17,Male,Snow - hail,Out of intersection,Full day
48,8,Male,Cloudy weather,Out of intersection,Full day
78,8,Male,Cloudy weather,Out of intersection,Full day
42,17,Male,Normal,Out of intersection,Twilight or dawn
33,17,Female,Normal,Out of intersection,Twilight or dawn
19,17,Male,Fog - smoke,Out of intersection,Full day
39,17,Male,Fog - smoke,Out of intersection,Full day
25,2,Male,Light rain,Out of intersection,Night without public lighting
26,2,Male,Light rain,Out of intersection,Night without public lighting
17,16,Male,Normal,Out of intersection,Full day
31,17,Male,Cloudy weather,Out of intersection,Night without public lighting
54,17,Male,Cloudy weather,Out of intersection,Night without public lighting
60,17,Male,Cloudy weather,Out of intersection,Night without public lighting
61,17,Female,Cloudy weather,Out of intersection,Night without public lighting
78,14,Male,Normal,Out of intersection,Full day
40,14,Male,Normal,Out of intersection,Full day
80,13,Male,Normal,Out of intersection,Full day
22,17,Female,Dazzling weather,Out of intersection,Full day
57,17,Female,Dazzling weather,Out of intersection,Full day
47,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
14,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
14,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
36,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
38,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
28,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
50,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
43,20,Male,Light rain,Out of intersection,Night without public lighting
56,14,Male,Normal,Out of intersection,Full day
29,14,Female,Normal,Out of intersection,Full day
47,14,Male,Normal,Out of intersection,Full day
2,14,Female,Normal,Out of intersection,Full day
5,14,Male,Normal,Out of intersection,Full day
61,23,Male,Normal,Out of intersection,Night without public lighting
60,23,Female,Normal,Out of intersection,Night without public lighting
30,23,Male,Normal,Out of intersection,Night without public lighting
29,23,Male,Normal,Out of intersection,Night without public lighting
45,18,Male,Normal,Other intersection,Full day
72,18,Male,Normal,Other intersection,Full day
37,18,Male,Normal,Other intersection,Full day
36,18,Female,Normal,Other intersection,Full day
6,18,Female,Normal,Other intersection,Full day
3,18,Male,Normal,Other intersection,Full day
27,18,Male,Normal,Other intersection,Full day
55,11,Male,Normal,Out of intersection,Full day
46,17,Male,Normal,Out of intersection,Full day
14,17,Female,Normal,Out of intersection,Full day
27,17,Male,Normal,Out of intersection,Full day
22,22,Male,Normal,Out of intersection,Night without public lighting
58,22,Male,Normal,Out of intersection,Night without public lighting
59,22,Female,Normal,Out of intersection,Night without public lighting
24,7,Male,Normal,Out of intersection,Full day
22,7,Male,Normal,Out of intersection,Full day
27,7,Male,Normal,Out of intersection,Full day
42,12,Male,Heavy rain,Out of intersection,Full day
24,12,Female,Heavy rain,Out of intersection,Full day
46,7,Male,Normal,Out of intersection,Full day
27,7,Female,Normal,Out of intersection,Full day
31,7,Female,Normal,Out of intersection,Full day
31,7,Male,Normal,Out of intersection,Full day
43,18,Female,Normal,Out of intersection,Night without public lighting
55,18,Male,Normal,Out of intersection,Night without public lighting
7,18,Female,Normal,Intersection in T,Full day
56,18,Male,Normal,Intersection in T,Full day
56,18,Male,Normal,Intersection in T,Full day
30,19,Male,Normal,Intersection in X,Full day
26,19,Female,Normal,Intersection in X,Full day
18,8,Male,Normal,Out of intersection,Full day
46,8,Female,Normal,Out of intersection,Full day
61,9,Male,Normal,Out of intersection,Full day
76,17,Male,Heavy rain,Out of intersection,Full day
24,11,Female,Normal,Out of intersection,Full day
36,21,Male,Normal,Out of intersection,Twilight or dawn
39,18,Male,Normal,Out of intersection,Night with public lighting on
22,18,Female,Normal,Out of intersection,Night with public lighting on
78,17,Female,Normal,Intersection in X,Twilight or dawn
23,17,Male,Normal,Intersection in X,Twilight or dawn
49,14,Female,Normal,Out of intersection,Full day
63,14,Female,Normal,Out of intersection,Full day
23,14,Female,Normal,Out of intersection,Full day
29,14,Male,Normal,Out of intersection,Full day
23,11,Female,Dazzling weather,Out of intersection,Full day
25,11,Female,Dazzling weather,Out of intersection,Full day
23,11,Male,Dazzling weather,Out of intersection,Full day
31,11,Male,Dazzling weather,Out of intersection,Full day
23,2,Male,Light rain,Out of intersection,Night without public lighting
31,17,Male,Dazzling weather,Out of intersection,Full day
33,12,Male,Normal,Out of intersection,Full day
27,6,Male,Light rain,Out of intersection,Full day
18,6,Male,Light rain,Out of intersection,Full day
54,15,Male,Normal,Out of intersection,Full day
31,15,Male,Normal,Out of intersection,Full day
36,7,Female,Light rain,Out of intersection,Full day
16,7,Male,Light rain,Out of intersection,Full day
38,18,Male,Light rain,Out of intersection,Night without public lighting
20,18,Male,Light rain,Out of intersection,Night without public lighting
24,21,Male,Normal,Out of intersection,Night without public lighting
35,21,Male,Normal,Out of intersection,Night without public lighting
64,21,Male,Normal,Out of intersection,Night without public lighting
17,15,Male,Cloudy weather,Out of intersection,Full day
60,19,Male,Normal,Giratory,Full day
20,9,Male,Normal,Out of intersection,Night without public lighting
15,9,Female,Normal,Out of intersection,Night without public lighting
42,9,Male,Normal,Out of intersection,Night without public lighting
67,18,Male,Other,Out of intersection,Night without public lighting
61,18,Male,Other,Out of intersection,Night without public lighting
62,18,Female,Other,Out of intersection,Night without public lighting
94,9,Female,Normal,Out of intersection,Full day
76,9,Male,Normal,Out of intersection,Full day
37,10,Male,Normal,Out of intersection,Full day
34,10,Male,Normal,Out of intersection,Full day
