age,time,sex,atmospheric condition,intersection,lighting
23,10,Male,Normal,Out of intersection,Full day
27,17,Female,Normal,Giratory,Full day
15,17,Male,Normal,Giratory,Full day
32,4,Male,Cloudy weather,Out of intersection,Night without public lighting
34,4,Male,Cloudy weather,Out of intersection,Night without public lighting
38,7,Male,Normal,Out of intersection,Twilight or dawn
28,7,Female,Normal,Out of intersection,Twilight or dawn
41,8,Male,Normal,Out of intersection,Full day
28,5,Male,Normal,Out of intersection,Twilight or dawn
38,5,Male,Normal,Out of intersection,Twilight or dawn
17,19,Male,Normal,Out of intersection,Full day
20,19,Male,Normal,Out of intersection,Full day
30,6,Male,Normal,Out of intersection,Full day
26,6,Female,Normal,Out of intersection,Full day
66,12,Male,Light rain,Out of intersection,Full day
60,12,Female,Light rain,Out of intersection,Full day
32,12,Male,Light rain,Out of intersection,Full day
21,17,Male,Cloudy weather,Out of intersection,Full day
19,17,Female,Cloudy weather,Out of intersection,Full day
24,18,Male,Normal,Out of intersection,Full day
22,18,Female,Normal,Out of intersection,Full day
51,18,Male,Normal,Out of intersection,Full day
61,18,Male,Normal,Out of intersection,Full day
75,22,Male,Normal,Out of intersection,Night without public lighting
34,22,Male,Normal,Out of intersection,Night without public lighting
87,18,Female,Normal,Out of intersection,Twilight or dawn
26,18,Male,Normal,Out of intersection,Twilight or dawn
40,8,Female,Normal,Out of intersection,Twilight or dawn
34,7,Female,Normal,Out of intersection,Twilight or dawn
12,7,Male,Normal,Out of intersection,Twilight or dawn
12,7,Male,Normal,Out of intersection,Twilight or dawn
21,13,Female,Normal,Out of intersection,Full day
28,13,Male,Normal,Out of intersection,Full day
36,13,Male,Normal,Out of intersection,Full day
26,13,Female,Normal,Out of intersection,Full day
19,12,Male,Normal,Out of intersection,Full day
48,12,Male,Normal,Out of intersection,Full day
31,23,Male,Normal,Out of intersection,Night without public lighting
38,23,Female,Normal,Out of intersection,Night without public lighting
45,23,Male,Normal,Out of intersection,Night without public lighting
36,13,Male,Dazzling weather,Out of intersection,Full day
27,16,Female,Cloudy weather,Intersection in X,Full day
25,16,Female,Cloudy weather,Intersection in X,Full day
48,16,Male,Cloudy weather,Intersection in X,Full day
38,16,Male,Cloudy weather,Intersection in X,Full day
34,16,Female,Cloudy weather,Intersection in X,Full day
10,16,Male,Cloudy weather,Intersection in X,Full day
15,16,Female,Cloudy weather,Intersection in X,Full day
12,16,Female,Cloudy weather,Intersection in X,Full day
28,15,Male,Normal,Out of intersection,Full day
22,15,Male,Normal,Out of intersection,Full day
25,15,Male,Normal,Out of intersection,Full day
30,19,Male,Normal,Out of intersection,Full day
34,19,Male,Normal,Out of intersection,Full day
50,19,Male,Normal,Out of intersection,Full day
46,13,Male,Normal,Out of intersection,Full day
50,13,Male,Normal,Out of intersection,Full day
51,19,Male,Normal,Out of intersection,Twilight or dawn
48,19,Female,Normal,Out of intersection,Twilight or dawn
51,8,Female,Snow - hail,Out of intersection,Full day
44,8,Female,Snow - hail,Out of intersection,Full day
23,14,Male,Normal,Out of intersection,Full day
19,14,Male,Normal,Out of intersection,Full day
18,14,Female,Normal,Out of intersection,Full day
25,14,Male,Normal,Out of intersection,Full day
24,14,Male,Normal,Out of intersection,Full day
63,20,Male,Normal,Out of intersection,Night without public lighting
28,20,Male,Normal,Out of intersection,Night without public lighting
24,10,Male,Normal,Out of intersection,Full day
42,10,Male,Normal,Out of intersection,Full day
59,10,Male,Normal,Out of intersection,Full day
21,19,Male,Dazzling weather,Intersection in T,Full day
59,19,Male,Dazzling weather,Intersection in T,Full day
15,10,Male,Dazzling weather,Out of intersection,Full day
27,15,Female,Normal,Out of intersection,Full day
33,15,Male,Normal,Out of intersection,Full day
29,17,Male,Normal,Out of intersection,Full day
23,17,Male,Normal,Out of intersection,Full day
17,17,Male,Normal,Out of intersection,Full day
20,17,Female,Normal,Out of intersection,Full day
46,3,Female,Normal,Out of intersection,Night with public lighting on
17,3,Male,Normal,Out of intersection,Night with public lighting on
42,3,Male,Normal,Out of intersection,Night with public lighting on
36,3,Female,Normal,Out of intersection,Night with public lighting on
30,8,Male,Normal,Out of intersection,Full day
22,8,Male,Normal,Out of intersection,Full day
45,18,Male,Normal,Out of intersection,Night without public lighting
24,18,Male,Normal,Out of intersection,Night without public lighting
20,5,Male,Normal,Out of intersection,Full day
22,5,Male,Normal,Out of intersection,Full day
17,5,Female,Normal,Out of intersection,Full day
19,20,Male,Normal,Out of intersection,Night without public lighting
18,20,Male,Normal,Out of intersection,Night without public lighting
61,10,Male,Heavy rain,Out of intersection,Full day
63,10,Female,Heavy rain,Out of intersection,Full day
3,10,Female,Heavy rain,Out of intersection,Full day
43,18,Male,Normal,Out of intersection,Night without public lighting
62,18,Male,Normal,Out of intersection,Night without public lighting
31,15,Male,Normal,Out of intersection,Full day
44,15,Male,Normal,Out of intersection,Full day
15,19,Female,Normal,Out of intersection,Night with public lighting on
26,19,Female,Normal,Out of intersection,Night with public lighting on
64,14,Male,Normal,Out of intersection,Full day
58,14,Female,Normal,Out of intersection,Full day
58,14,Male,Normal,Out of intersection,Full day
54,16,Male,Light rain,Out of intersection,Full day
53,16,Male,Light rain,Out of intersection,Full day
65,16,Male,Light rain,Out of intersection,Full day
22,14,Male,Normal,Out of intersection,Full day
16,14,Female,Normal,Out of intersection,Full day
60,14,Male,Strong wind - storm,Out of intersection,Full day
19,14,Female,Strong wind - storm,Out of intersection,Full day
27,8,Female,Normal,Out of intersection,Full day
25,20,Male,Normal,Out of intersection,Full day
12,20,Female,Normal,Out of intersection,Full day
6,20,Female,Normal,Out of intersection,Full day
17,17,Male,Normal,Out of intersection,Full day
18,17,Male,Normal,Out of intersection,Full day
16,17,Female,Normal,Out of intersection,Full day
31,18,Male,Normal,Out of intersection,Full day
43,18,Male,Normal,Out of intersection,Full day
34,6,Male,Fog - smoke,Out of intersection,Night with public lighting on
29,17,Male,Normal,Out of intersection,Night without public lighting
56,17,Female,Normal,Out of intersection,Night without public lighting
55,18,Male,Normal,Out of intersection,Night with public lighting on
5,18,Female,Normal,Out of intersection,Night with public lighting on
38,15,Male,Normal,Out of intersection,Full day
85,11,Male,Normal,Intersection in X,Full day
61,11,Male,Normal,Intersection in X,Full day
40,15,Female,Light rain,Out of intersection,Full day
28,10,Male,Normal,Intersection in X,Full day
60,10,Male,Normal,Intersection in X,Full day
70,10,Male,Normal,Out of intersection,Full day
21,10,Male,Normal,Out of intersection,Full day
23,10,Male,Normal,Out of intersection,Full day
54,13,Female,Normal,Out of intersection,Full day
28,13,Male,Normal,Out of intersection,Full day
41,18,Male,Cloudy weather,Out of intersection,Night without public lighting
38,18,Female,Cloudy weather,Out of intersection,Night without public lighting
9,18,Female,Cloudy weather,Out of intersection,Night without public lighting
72,18,Male,Cloudy weather,Out of intersection,Night without public lighting
48,18,Female,Cloudy weather,Out of intersection,Night without public lighting
21,6,Female,Normal,Out of intersection,Twilight or dawn
20,6,Female,Normal,Out of intersection,Twilight or dawn
20,9,Male,Normal,Out of intersection,Full day
54,17,Female,Normal,Out of intersection,Full day
77,17,Female,Normal,Out of intersection,Full day
55,17,Male,Normal,Out of intersection,Full day
35,17,Male,Normal,Out of intersection,Full day
32,17,Male,Normal,Out of intersection,Full day
53,17,Male,Normal,Out of intersection,Full day
27,17,Female,Normal,Out of intersection,Full day
61,14,Male,Other,Out of intersection,Full day
31,12,Male,Normal,Out of intersection,Full day
29,12,Male,Normal,Out of intersection,Full day
47,12,Male,Normal,Out of intersection,Full day
3,12,Female,Normal,Out of intersection,Full day
30,12,Female,Normal,Out of intersection,Full day
52,12,Female,Normal,Out of intersection,Full day
50,1,Male,Heavy rain,Out of intersection,Night without public lighting
15,16,Male,Normal,Out of intersection,Full day
34,16,Male,Normal,Out of intersection,Full day
44,2,Male,Normal,Out of intersection,Night with public lighting on
31,2,Female,Normal,Out of intersection,Night with public lighting on
24,21,Male,Light rain,Out of intersection,Night without public lighting
35,21,Male,Light rain,Out of intersection,Night without public lighting
16,21,Female,Light rain,Out of intersection,Night without public lighting
50,21,Male,Light rain,Out of intersection,Night without public lighting
45,11,Male,Normal,Out of intersection,Full day
67,11,Male,Normal,Out of intersection,Full day
58,17,Female,Normal,Out of intersection,Full day
83,17,Female,Normal,Out of intersection,Full day
37,12,Female,Normal,Out of intersection,Full day
71,12,Female,Normal,Out of intersection,Full day
76,13,Male,Normal,Out of intersection,Full day
76,13,Female,Normal,Out of intersection,Full day
26,13,Female,Normal,Out of intersection,Full day
26,10,Male,Normal,Out of intersection,Full day
50,20,Male,Normal,Out of intersection,Twilight or dawn
38,20,Male,Normal,Out of intersection,Twilight or dawn
48,18,Female,Normal,Intersection in T,Full day
9,18,Male,Normal,Intersection in T,Full day
21,16,Male,Light rain,Out of intersection,Full day
48,16,Female,Light rain,Out of intersection,Full day
74,16,Female,Light rain,Out of intersection,Full day
43,16,Male,Light rain,Out of intersection,Full day
43,16,Female,Light rain,Out of intersection,Full day
29,21,Male,Light rain,Out of intersection,Night without public lighting
72,18,Female,Normal,Out of intersection,Twilight or dawn
83,18,Male,Normal,Out of intersection,Twilight or dawn
15,18,Male,Normal,Out of intersection,Twilight or dawn
42,18,Female,Normal,Out of intersection,Twilight or dawn
12,18,Male,Normal,Out of intersection,Twilight or dawn
85,13,Male,Normal,Out of intersection,Full day
19,13,Male,Normal,Out of intersection,Full day
41,12,Male,Normal,Out of intersection,Full day
44,12,Female,Normal,Out of intersection,Full day
19,9,Male,Normal,Out of intersection,Full day
33,16,Male,Normal,Out of intersection,Full day
22,7,Male,Other,Out of intersection,Full day
42,19,Male,Normal,Out of intersection,Full day
41,8,Male,Normal,Intersection in X,Full day
19,8,Male,Normal,Intersection in X,Full day
18,7,Male,Light rain,Out of intersection,Full day
18,6,Female,Fog - smoke,Out of intersection,Night without public lighting
26,6,Male,Fog - smoke,Out of intersection,Night without public lighting
69,9,Male,Normal,Out of intersection,Full day
45,9,Female,Normal,Out of intersection,Full day
16,19,Male,Cloudy weather,Out of intersection,Night with public lighting on
36,19,Male,Cloudy weather,Out of intersection,Night with public lighting on
20,0,Male,Fog - smoke,Out of intersection,Night without public lighting
53,14,Male,Normal,Out of intersection,Full day
69,18,Female,Normal,Out of intersection,Full day
92,18,Female,Normal,Out of intersection,Full day
56,14,Female,Normal,Out of intersection,Full day
10,14,Female,Normal,Out of intersection,Full day
18,17,Male,Normal,Out of intersection,Full day
22,17,Female,Normal,Out of intersection,Full day
69,14,Male,Normal,Out of intersection,Full day
26,18,Male,Normal,Out of intersection,Full day
23,18,Male,Normal,Out of intersection,Full day
35,18,Female,Normal,Out of intersection,Full day
19,18,Female,Normal,Out of intersection,Full day
71,16,Male,Normal,Out of intersection,Full day
21,16,Male,Normal,Out of intersection,Full day
22,16,Male,Normal,Out of intersection,Full day
55,21,Male,Fog - smoke,Out of intersection,Night without public lighting
21,16,Female,Normal,Out of intersection,Full day
65,16,Male,Normal,Out of intersection,Full day
63,16,Male,Normal,Out of intersection,Full day
65,16,Female,Normal,Out of intersection,Full day
85,15,Male,Normal,Intersection in X,Full day
51,15,Male,Normal,Intersection in X,Full day
53,12,Female,Light rain,Level crossing,Full day
38,12,Male,Light rain,Level crossing,Full day
16,9,Female,Cloudy weather,Out of intersection,Full day
53,9,Male,Cloudy weather,Out of intersection,Full day
17,14,Male,Normal,Out of intersection,Full day
23,14,Female,Normal,Out of intersection,Full day
25,14,Male,Normal,Out of intersection,Full day
40,23,Male,Normal,Out of intersection,Night with public lighting on
30,9,Male,Normal,Out of intersection,Full day
44,9,Male,Normal,Out of intersection,Full day
42,9,Male,Normal,Out of intersection,Full day
78,8,Male,Heavy rain,Out of intersection,Night with public lighting on
31,8,Female,Heavy rain,Out of intersection,Night with public lighting on
67,18,Male,Light rain,Out of intersection,Night with public lighting on
44,18,Male,Light rain,Out of intersection,Night with public lighting on
20,19,Male,Normal,Out of intersection,Night with public lighting on
58,17,Male,Normal,Out of intersection,Full day
16,17,Male,Normal,Out of intersection,Full day
48,12,Female,Normal,Out of intersection,Full day
24,12,Male,Normal,Out of intersection,Full day
31,12,Female,Normal,Out of intersection,Full day
53,14,Male,Normal,Out of intersection,Full day
66,14,Female,Normal,Out of intersection,Full day
25,23,Male,Normal,Giratory,Night with public lighting on
40,23,Male,Normal,Giratory,Night with public lighting on
28,19,Male,Normal,Out of intersection,Twilight or dawn
32,19,Male,Normal,Out of intersection,Twilight or dawn
46,11,Male,Normal,Out of intersection,Full day
64,11,Male,Normal,Out of intersection,Full day
56,17,Male,Light rain,Out of intersection,Full day
18,20,Male,Fog - smoke,Out of intersection,Night without public lighting
17,20,Female,Fog - smoke,Out of intersection,Night without public lighting
17,20,Male,Fog - smoke,Out of intersection,Night without public lighting
31,5,Male,Normal,Out of intersection,Night without public lighting
19,5,Male,Normal,Out of intersection,Night without public lighting
65,16,Male,Normal,Out of intersection,Full day
21,16,Male,Normal,Out of intersection,Full day
49,4,Male,Light rain,Intersection in T,Night without public lighting
26,4,Female,Light rain,Intersection in T,Night without public lighting
44,13,Male,Normal,Out of intersection,Full day
19,13,Female,Normal,Out of intersection,Full day
57,10,Male,Light rain,Out of intersection,Full day
58,10,Female,Light rain,Out of intersection,Full day
45,20,Male,Heavy rain,Intersection in X,Night without public lighting
67,20,Female,Heavy rain,Intersection in X,Night without public lighting
61,20,Female,Heavy rain,Intersection in X,Night without public lighting
26,20,Female,Heavy rain,Intersection in X,Night without public lighting
59,17,Male,Normal,Intersection in X,Twilight or dawn
59,17,Female,Normal,Intersection in X,Twilight or dawn
41,17,Male,Normal,Intersection in X,Twilight or dawn
45,17,Female,Normal,Intersection in X,Twilight or dawn
31,7,Male,Light rain,Intersection in X,Twilight or dawn
31,7,Male,Light rain,Intersection in X,Twilight or dawn
26,7,Male,Light rain,Intersection in X,Twilight or dawn
45,15,Male,Normal,Out of intersection,Full day
24,21,Male,Cloudy weather,Out of intersection,Night without public lighting
39,14,Male,Normal,Out of intersection,Full day
23,11,Male,Normal,Out of intersection,Full day
37,11,Male,Normal,Out of intersection,Full day
45,18,Male,Normal,Intersection in X,Full day
46,18,Male,Normal,Intersection in X,Full day
18,18,Male,Normal,Intersection in X,Full day
17,18,Female,Normal,Intersection in X,Full day
25,18,Male,Normal,Intersection in X,Full day
15,14,Male,Normal,Out of intersection,Full day
60,14,Female,Normal,Out of intersection,Full day
20,9,Male,Normal,Intersection in X,Full day
60,9,Male,Normal,Intersection in X,Full day
40,12,Male,Normal,Out of intersection,Full day
31,12,Male,Normal,Out of intersection,Full day
32,18,Female,Normal,Out of intersection,Night with public lighting on
10,18,Male,Normal,Out of intersection,Night with public lighting on
61,6,Male,Normal,Out of intersection,Night without public lighting
17,6,Male,Normal,Out of intersection,Night without public lighting
46,20,Male,Normal,Out of intersection,Night without public lighting
18,20,Female,Normal,Out of intersection,Night without public lighting
77,20,Male,Normal,Out of intersection,Night without public lighting
44,1,Male,Heavy rain,Out of intersection,Night without public lighting
40,1,Male,Heavy rain,Out of intersection,Night without public lighting
46,12,Male,Normal,Out of intersection,Full day
15,12,Male,Normal,Out of intersection,Full day
21,12,Male,Normal,Out of intersection,Full day
44,8,Male,Normal,Out of intersection,Full day
23,8,Female,Normal,Out of intersection,Full day
60,19,Female,Normal,Out of intersection,Full day
55,19,Male,Normal,Out of intersection,Full day
56,19,Male,Normal,Out of intersection,Full day
58,12,Female,Normal,Intersection in T,Full day
72,12,Female,Normal,Intersection in T,Full day
77,19,Male,Cloudy weather,Out of intersection,Night with public lighting not lit
77,19,Female,Cloudy weather,Out of intersection,Night with public lighting not lit
70,19,Female,Cloudy weather,Out of intersection,Night with public lighting not lit
46,19,Male,Cloudy weather,Out of intersection,Night with public lighting not lit
19,18,Male,Light rain,Out of intersection,Night without public lighting
18,18,Male,Light rain,Out of intersection,Night without public lighting
20,13,Male,Normal,Out of intersection,Full day
44,13,Female,Normal,Out of intersection,Full day
30,0,Male,Normal,Out of intersection,Night without public lighting
27,15,Male,Normal,Out of intersection,Full day
38,15,Male,Normal,Out of intersection,Full day
36,8,Male,Normal,Out of intersection,Full day
34,19,Female,Normal,Intersection in X,Night without public lighting
52,19,Male,Normal,Intersection in X,Night without public lighting
52,11,Male,Normal,Intersection in T,Full day
50,11,Female,Normal,Intersection in T,Full day
60,11,Male,Normal,Intersection in T,Full day
49,0,Male,Normal,Out of intersection,Night with public lighting not lit
44,22,Female,Light rain,Out of intersection,Night without public lighting
34,22,Male,Light rain,Out of intersection,Night without public lighting
73,18,Male,Normal,Intersection in T,Full day
77,18,Female,Normal,Intersection in T,Full day
67,18,Female,Normal,Intersection in T,Full day
30,4,Male,Normal,Intersection in T,Night without public lighting
56,4,Male,Normal,Intersection in T,Night without public lighting
51,7,Male,Dazzling weather,Level crossing,Twilight or dawn
28,7,Female,Dazzling weather,Level crossing,Twilight or dawn
53,17,Male,Normal,Out of intersection,Full day
26,17,Male,Normal,Out of intersection,Full day
26,11,Male,Normal,Out of intersection,Full day
19,11,Male,Normal,Out of intersection,Full day
36,17,Male,Light rain,Intersection in T,Full day
48,17,Male,Light rain,Intersection in T,Full day
32,10,Male,Normal,Out of intersection,Full day
49,10,Male,Normal,Out of intersection,Full day
39,10,Male,Normal,Out of intersection,Full day
20,5,Male,Normal,Out of intersection,Twilight or dawn
22,5,Female,Normal,Out of intersection,Twilight or dawn
17,23,Male,Normal,Out of intersection,Night with public lighting on
43,10,Male,Other,Out of intersection,Full day
49,10,Male,Other,Out of intersection,Full day
46,10,Female,Other,Out of intersection,Full day
27,10,Female,Other,Out of intersection,Full day
27,7,Male,Other,Out of intersection,Twilight or dawn
36,13,Male,Normal,Out of intersection,Full day
63,13,Male,Normal,Out of intersection,Full day
58,13,Female,Normal,Out of intersection,Full day
27,17,Male,Normal,Intersection in X,Full day
22,17,Male,Normal,Intersection in X,Full day
57,17,Female,Normal,Intersection in X,Full day
36,17,Female,Normal,Intersection in X,Full day
3,17,Male,Normal,Intersection in X,Full day
20,23,Male,Normal,Intersection in T,Night with public lighting not lit
43,23,Male,Normal,Intersection in T,Night with public lighting not lit
25,7,Male,Normal,Out of intersection,Twilight or dawn
18,7,Female,Normal,Out of intersection,Twilight or dawn
29,3,Male,Normal,Out of intersection,Night without public lighting
18,1,Male,Normal,Out of intersection,Night without public lighting
30,1,Female,Light rain,Out of intersection,Night without public lighting
29,1,Male,Light rain,Out of intersection,Night without public lighting
29,16,Male,Normal,Intersection in X,Full day
33,16,Female,Normal,Intersection in X,Full day
89,16,Male,Normal,Intersection in X,Full day
29,9,Male,Fog - smoke,Out of intersection,Full day
25,9,Male,Fog - smoke,Out of intersection,Full day
39,15,Male,Normal,Out of intersection,Full day
45,15,Male,Normal,Out of intersection,Full day
26,16,Male,Normal,Out of intersection,Full day
41,16,Female,Normal,Out of intersection,Full day
34,16,Female,Normal,Out of intersection,Full day
42,16,Female,Normal,Out of intersection,Full day
46,16,Male,Normal,Out of intersection,Full day
20,6,Male,Normal,Out of intersection,Night without public lighting
19,6,Female,Normal,Out of intersection,Night without public lighting
19,6,Male,Normal,Out of intersection,Night without public lighting
22,9,Female,Normal,Intersection in Y,Full day
20,9,Female,Normal,Intersection in Y,Full day
1,9,Female,Normal,Intersection in Y,Full day
60,9,Male,Normal,Intersection in Y,Full day
50,9,Female,Normal,Intersection in Y,Full day
54,10,Male,Normal,Out of intersection,Full day
19,17,Male,Normal,Intersection in X,Full day
16,17,Female,Normal,Intersection in X,Full day
22,17,Male,Normal,Intersection in X,Full day
25,17,Female,Normal,Intersection in X,Full day
20,22,Male,Normal,Out of intersection,Night without public lighting
39,22,Male,Normal,Out of intersection,Night without public lighting
35,22,Female,Normal,Out of intersection,Night without public lighting
45,19,Male,Dazzling weather,Out of intersection,Twilight or dawn
29,19,Male,Dazzling weather,Out of intersection,Twilight or dawn
31,20,Male,Heavy rain,Out of intersection,Night without public lighting
33,20,Male,Heavy rain,Out of intersection,Night without public lighting
21,12,Male,Normal,Intersection in T,Full day
16,12,Female,Normal,Intersection in T,Full day
36,8,Female,Normal,Out of intersection,Full day
16,8,Male,Normal,Out of intersection,Full day
15,8,Male,Normal,Out of intersection,Full day
13,8,Female,Normal,Out of intersection,Full day
13,8,Male,Normal,Out of intersection,Full day
15,14,Male,Normal,Out of intersection,Full day
26,14,Female,Normal,Out of intersection,Full day
71,12,Male,Normal,Out of intersection,Full day
23,23,Male,Normal,Out of intersection,Night without public lighting
16,23,Male,Normal,Out of intersection,Night without public lighting
18,23,Male,Normal,Out of intersection,Night without public lighting
17,9,Male,Normal,Out of intersection,Full day
82,9,Male,Normal,Out of intersection,Full day
15,9,Male,Normal,Out of intersection,Full day
70,19,Male,Light rain,Out of intersection,Twilight or dawn
51,19,Female,Light rain,Out of intersection,Twilight or dawn
22,2,Male,Normal,Out of intersection,Night without public lighting
21,2,Male,Normal,Out of intersection,Night without public lighting
15,16,Male,Light rain,Out of intersection,Full day
14,16,Male,Light rain,Out of intersection,Full day
23,2,Male,Normal,Out of intersection,Night without public lighting
20,2,Male,Normal,Out of intersection,Night without public lighting
38,23,Male,Normal,Out of intersection,Night without public lighting
48,23,Male,Normal,Out of intersection,Night without public lighting
59,11,Female,Normal,Intersection in X,Full day
83,11,Female,Normal,Intersection in X,Full day
22,23,Male,Normal,Out of intersection,Night without public lighting
84,19,Male,Heavy rain,Out of intersection,Full day
35,0,Male,Normal,Intersection in T,Night without public lighting
76,0,Female,Normal,Intersection in T,Night without public lighting
35,0,Male,Normal,Intersection in T,Night without public lighting
86,17,Male,Normal,Intersection in T,Full day
23,17,Male,Normal,Intersection in T,Full day
63,11,Male,Normal,Out of intersection,Full day
49,11,Male,Normal,Out of intersection,Full day
39,19,Male,Normal,Intersection in T,Full day
13,19,Male,Normal,Intersection in T,Full day
17,15,Male,Normal,Intersection in X,Full day
38,15,Female,Normal,Intersection in X,Full day
77,16,Female,Normal,Out of intersection,Full day
80,16,Male,Normal,Out of intersection,Full day
34,14,Female,Normal,Other intersection,Full day
67,12,Male,Fog - smoke,Out of intersection,Full day
71,12,Male,Fog - smoke,Out of intersection,Full day
18,5,Male,Normal,Intersection in T,Night with public lighting on
23,5,Male,Normal,Intersection in T,Night with public lighting on
24,16,Male,Normal,Out of intersection,Full day
49,16,Female,Normal,Out of intersection,Full day
37,23,Male,Normal,Out of intersection,Night without public lighting
37,18,Male,Normal,Out of intersection,Full day
45,18,Female,Normal,Out of intersection,Full day
46,12,Female,Normal,Out of intersection,Full day
71,12,Male,Normal,Out of intersection,Full day
34,16,Male,Normal,Out of intersection,Full day
31,16,Male,Normal,Out of intersection,Full day
31,23,Male,Normal,Out of intersection,Night without public lighting
48,23,Male,Normal,Out of intersection,Night without public lighting
22,7,Female,Normal,Out of intersection,Full day
23,7,Male,Normal,Out of intersection,Full day
19,4,Male,Normal,Out of intersection,Night without public lighting
31,22,Male,Normal,Giratory,Night with public lighting on
32,23,Male,Normal,Out of intersection,Night without public lighting
19,23,Female,Normal,Out of intersection,Night without public lighting
43,16,Male,Normal,Giratory,Full day
13,16,Female,Normal,Giratory,Full day
55,8,Female,Fog - smoke,Out of intersection,Twilight or dawn
20,8,Male,Fog - smoke,Out of intersection,Twilight or dawn
71,12,Male,Normal,Out of intersection,Full day
28,5,Male,Light rain,Out of intersection,Night without public lighting
24,5,Male,Light rain,Out of intersection,Night without public lighting
79,17,Male,Light rain,Out of intersection,Night without public lighting
31,17,Male,Light rain,Out of intersection,Night without public lighting
15,17,Male,Light rain,Out of intersection,Night without public lighting
20,17,Male,Light rain,Out of intersection,Night without public lighting
25,17,Male,Light rain,Out of intersection,Night without public lighting
18,17,Male,Light rain,Out of intersection,Night without public lighting
26,17,Male,Light rain,Out of intersection,Night without public lighting
36,21,Male,Normal,Out of intersection,Full day
58,21,Male,Normal,Out of intersection,Full day
32,22,Male,Normal,Out of intersection,Night without public lighting
46,22,Male,Normal,Out of intersection,Night without public lighting
42,14,Female,Light rain,Out of intersection,Full day
25,14,Male,Light rain,Out of intersection,Full day
35,9,Male,Light rain,Out of intersection,Full day
47,9,Female,Light rain,Out of intersection,Full day
21,17,Female,Normal,Out of intersection,Full day
68,19,Male,Normal,Out of intersection,Full day
78,19,Male,Normal,Out of intersection,Full day
28,19,Male,Normal,Out of intersection,Full day
34,18,Male,Normal,Out of intersection,Full day
67,18,Male,Normal,Out of intersection,Full day
